# Sonic Visualizer Region Layer
0.0000	0.7663	11
0.7663	1.4629	11
1.4629	2.1362	4
2.1362	2.4149	11
2.4149	3.2972	9
3.2972	7.4304	0
7.4304	7.5697	11
7.5697	7.6161	11
7.6161	7.7555	11
7.7555	7.8483	11
7.8483	8.0805	11
8.0805	8.3360	9
8.3360	8.4521	11
8.4521	8.5449	9
8.5449	8.6378	9
8.6378	8.7075	9
8.7075	8.8932	7
8.8932	9.1022	9
9.1022	9.9381	11
9.9381	10.0775	9
10.0775	10.7973	11
10.7973	10.9366	11
10.9366	11.0527	11
11.0527	11.2617	7
11.2617	11.3313	4
11.3313	11.5868	9
11.5868	11.7725	11
11.7725	12.4691	11
12.4691	12.6317	11
12.6317	12.8174	11
12.8174	12.9335	9
12.9335	13.1657	11
13.1657	13.3283	9
13.3283	13.4676	9
13.4676	13.5837	9
13.5837	13.7462	9
13.7462	14.3267	6
14.3267	14.3732	4
14.3732	14.4660	4
14.4660	14.6054	6
14.6054	14.7447	4
14.7447	14.8840	4
14.8840	15.0233	4
15.0233	15.3252	4
15.3252	15.4413	4
15.4413	15.5341	4
15.5341	15.7199	6
15.7199	15.8128	4
15.8128	15.9985	9
15.9985	16.0914	11
16.0914	16.2307	9
16.2307	16.4397	11
16.4397	16.5558	11
16.5558	16.6719	11
16.6719	16.8809	11
16.8809	17.0434	9
17.0434	17.1363	6
17.1363	17.4614	11
17.4614	17.6704	9
17.6704	17.8329	0
17.8329	18.4366	11
18.4366	18.5992	9
18.5992	18.7153	11
18.7153	18.9707	9
18.9707	19.1100	9
19.1100	19.5512	6
19.5512	19.7137	4
19.7137	20.0156	4
20.0156	20.2014	6
20.2014	20.3407	4
20.3407	20.4568	4
20.4568	20.6425	6
20.6425	20.8051	4
20.8051	21.0605	6
21.0605	21.1534	6
21.1534	21.2695	9
21.2695	21.4088	11
21.4088	21.5249	9
21.5249	21.6642	11
21.6642	21.7339	11
21.7339	21.9661	11
21.9661	22.3840	11
22.3840	22.4537	11
22.4537	22.7091	1
22.7091	22.8020	4
22.8020	22.8949	4
22.8949	23.1967	4
23.1967	23.2896	4
23.2896	23.4522	4
23.4522	23.6147	4
23.6147	24.0094	11
24.0094	24.0791	0
24.0791	24.3577	11
24.3577	24.4738	11
24.4738	24.7757	11
24.7757	24.9150	4
24.9150	25.0543	4
25.0543	25.1704	4
25.1704	25.2169	4
25.2169	25.8670	11
25.8670	25.9831	9
25.9831	26.2153	11
26.2153	26.3314	11
